Allegheny Center,2020,5627
,2010,5627
,2000,2204
,1990,2204
,1980,"(.03) *2201, 2204, (.02) *2205"
,1970,"(.03) *2201, 2204, (.02) *2205"
,1960,"(.03) *22A, 22D, 22E, (.02) *22G"
,1950,"(.03) *22A, 22D, 22E, (.02) *22G"
,1940,"(.03) *22A, 22D, 22E, (.02) *22G"
Allegheny West,2020,5627
,2010,5627
,2000,2201
,1990,2201
,1980,(.97) *2201
,1970,(.97) *2201
,1960,(.97) *22A
,1950,(.97) *22A
,1940,(.97) *22A
Allentown,2020,1803
,2010,1803
,2000,1803
,1990,"1803, 1808"
,1980,"(.09) *1801, (.99)*1802, 1803"
,1970,"(.09) *1801, (.99)*1802, 1803"
,1960,"(.09) *18A, (.99) *18B, 18C"
,1950,"(.09) *18A, (.99) *18B, 18C"
,1940,"(.09) *18A, (.98) *18B,(.98)*18C"
Arlington,2020,1610
,2010,5616
,2000,1603
,1990,1603
,1980,(.83)*1603
,1970,(.83)*1603
,1960,(.83)*16Ca
,1950,(.28)*16C
,1940,(.28)*16C
Arlington Heights,2020,1610
,2010,5616
,2000,1604
,1990,1604
,1980,"(.01)*1603, 1604"
,1970,"(.01)*1603, 1604"
,1960,16Cb
,1950,(.25)*16C
,1940,(.25)*16C
Banksville,2020,2023
,2010,2023
,2000,2023
,1990,2023
,1980,(.69)*2010
,1970,"(.69)*2010, (.20)*2011"
,1960,"(.69)*20L, (.02)*20M"
,1950,"(.02)*20J, (.69)*20L"
,1940,(.66)*20L
Bedford Dwellings,2020,509
,2010,509
,2000,509
,1990,509
,1980,509
,1970,"509, (.10)*602"
,1960,"5L, (.14)*6B"
,1950,"5A, (.68)*5B, (.14)*6B"
,1940,"5A, (.68)*5B, (.14)*6B"
Beechview,2020,1916
,2010,1916
,2000,"1916, 1920"
,1990,"1916, 1920"
,1980,"1906, 1907, (.31)*2010, (.32)*2012"
,1970,"1906, 1907, (.31)*2010, (.32)*2012"
,1960,"19F, 19G, (.31)*20L, (.32)*20N"
,1950,"19F, 19G, (.31)*20K, (.31)*20L"
,1940,"19F, 19G, (.31)*20K, (.29)*20L"
Beltzhoover,2020,5624
,2010,5624
,2000,"1805, 1809"
,1990,"1805, 1809"
,1980,"(.98)*1804, 1805"
,1970,"(.98)*1804, 1805"
,1960,"(.99)*18Da, 18Db"
,1950,(.98)*18D
,1940,(.98)*18D
Bloomfield,2020,"802, 804, 806, 809, 903"
,2010,"802, 804, 806, 809, 903"
,2000,"802, 804, 806, 809, 903"
,1990,"802, 804, 806 809, 810, 903"
,1980,"802, 803, 804, 806, 809, (.93)*903"
,1970,"801, 802, 803, 804, 805, 806, 809, (.93)*903"
,1960,"8A, (.98)*8B, 8C, 8D, 8E, 8F, (.93)*9C"
,1950,"8A, (.98)*8B, 8C, 8D, 8E, 8F, (.93)*9C"
,1940,"8A, (.98)*8B, 8C, 8D, 8E, 8F, (.93)*9C"
Bluff,2020,"103.01, 103.02"
,2010,103
,2000,103
,1990,103
,1980,"102, (.10)*408"
,1970,"102, (.10)*408"
,1960,"1B, (.10)*4J"
,1950,"1B, (.72)*4B"
,1940,"(.97)*1B, (.72)*4B"
Bon Air,2020,5624
,2010,5624
,2000,1806
,1990,1806
,1980,1806
,1970,1806
,1960,18E
,1950,"(.01)*18D, 18E"
,1940,"(.01)*18D, 18E"
Brighton Heights,2020,"2701, 2703, 2708"
,2010,"2701, 2703, 2708"
,2000,"2701, 2703, 2708"
,1990,"2701, 2703, 2708"
,1980,"(.02)*2601, 2701, 2702, 2703"
,1970,"(.02)*2601, 2701, 2702, (.98)*2703"
,1960,"(.04)*26A, 27A, 27B, (.98)*27C"
,1950,"(.04)*26A, 27A, 27B, (.98)*27C"
,1940,"(.04)*26A, 27A, 27B, (.98)*27C"
Brookline,2020,"1917, 1918, 1919, 3206"
,2010,"1917, 1918, 1919, 3206"
,2000,"1917, 1918, 1919, 3206"
,1990,"1917, 1918, 1919, 3206"
,1980,"1908, 1909, 1910, 3203, (.24)*3205"
,1970,"1908, 1909, 1910, (.24)*3201, (.83)*3203"
,1960,"19J, 19K, 19L, (.13)*32A, (.91)*32C"
,1950,"19H, 19I, (.13)*32A, (.93)*32C"
,1940,"19H, 19I, (.02)*32A, (.93)*32C"
California Kirkbride,2020,5652
,2010,2507
,2000,2507
,1990,2507
,1980,"(.01)*2101, 2102, (.92)*2502"
,1970,"(.01)*2101, 2102, (.92)*2502"
,1960,"(.01)*21B, 21C, (.92)*25Ba"
,1950,"(.01)*21B, 21C, (.42)*25B"
,1940,"(.01)*21B, 21C, (.42)*25B"
Carrick,2020,"2901, 2902, 2904"
,2010,"2901, 2902, 2904"
,2000,"2901, 2902, 2904"
,1990,"2901, 2902, 2904"
,1980,"(.02)*1607, 2901, 2902, (.90)*2903, (.10)*3202"
,1970,"(.02)*1605, (.98)*2901,2902, (.90)*2903, (.10)3202,(.17)*3203"
,1960,"(.02)*16Cc, 29A, 29B, (.90)*29C, (.10)*32B, (.02)*32C"
,1950,"(.02)*16C, 29A, 29B, (.90)*29C, (.10)*32B"
,1940,"(.02)*16Cc, 29A, 29B, (.90)*29C, (.10)*32B"
Central Lawrenceville,2020,"901, 902, 9810"
,2010,"901, 902, 9810"
,2000,"901, 902"
,1990,"901, 902"
,1980,"901, 902"
,1970,"9A, 9B"
,1960,"9A, 9B"
,1950,"9A, 9B"
,1940,"9A, 9B"
Central Northside,2020,5651
,2010,"2206, 2503"
,2000,"2206, 2503"
,1990,"2206, 2503"
,1980,"2202, 2203, 2503, (.15)*2506"
,1970,"2202, 2203, 2503, (.39)*2505"
,1960,"22B, 22C, 25Bb, (.40)*25D"
,1950,"22B, 22C, (.50)*25B, (.40)25D"
,1940,"22B, 22C, (.50)*25B, (.40)25D"
Central Oakland,2020,"405, 406"
,2010,"405, 406"
,2000,"405, 406"
,1990,"405, 406"
,1980,"405, 406"
,1970,"405, 406"
,1960,"4Fa, 4Fb"
,1950,4F
,1940,4F
Chartiers City,2020,5630
,2010,5630
,2000,2021
,1990,2021
,1980,"(01)*2013, 2014, (01)*2807"
,1970,"(.19)*2013, 2014, (.01)*2801"
,1960,"(.19)*20B, (.26)*20C, (.01)*28A"
,1950,"(.19)*20B, (.26)*20C, (.01)*28A"
,1940,"(.19)*20B, (.26)*20C, (.01)*28A"
Chateau,2020,9806
,2010,9806
,2000,2108
,1990,2108
,1980,(.70)*2106
,1970,"2104, (.54)*2105, (.01)*2704"
,1960,"21G, (.70)*21H, (.01)*27D"
,1950,"21A, (.15)*21E, (.92)*21F, (.01)*27D"
,1940,"21A, (.15)*21E, (.92)*21F, (.01)*27D"
Crafton Heights,2020,"2814, 2815"
,2010,"2814, 2815"
,2000,"2814, 2815"
,1990,"2814, 2815"
,1980,"2006, (.04)*2008, 2809, 2810"
,1970,"2006, (.04)*2008, (.98)*2802, 2803"
,1960,"20F, (.05)*20H, (.99)*28B, 28C"
,1950,"20F, (.05)*20H, (.99)*28B, 28C"
,1940,"20F, (.05)*20H, (.99)*28B, 28C"
Crawford-Roberts,2020,305
,2010,305
,2000,305
,1990,"305, 314"
,1980,"304, 305, (.01)*501, (.15)*503"
,1970,"(.04)*202, 301, 303, 304, (.15)*503"
,1960,"(.04)*2F, 3A, 3G, 3H, (.15)*5F"
,1950,"(.04)*2F, 3A, (.93)*3C, 3D, 3E, (.15)*5F"
,1940,"(.04)*2F, 3A, (.93)*3C, 3D, 3E, (.15)*5F"
Duquesne Heights,2020,1911
,2010,1911
,2000,1911
,1990,1911
,1980,"(.99)*1901, (.01)*1903, (.68)*2012"
,1970,"(.99)*1901, (.01)*1903, (.67)*2012"
,1960,"(.97)*19A, (.01)*19C, (.68)*20N"
,1950,"(.97)*19A, (.01)*19C, (.68)*20K"
,1940,"(.97)*19A, (.01)*19B, (.64)*20K"
East Allegheny,2020,"5632.01, 5632.02"
,2010,5632
,2000,2304
,1990,"2304, 2305"
,1980,"(.97)*2301, (.94)*2302, (.01)*2303, (.04)*2506"
